City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bardai,11.65,7.2333,28.96,37,99,3.1,NG,1681866592
1,tambopata,-12.7333,-69.1833,23.82,88,81,0.59,PE,1681866593
2,socorro,31.6546,-106.3033,27.55,7,20,7.72,US,1681866593
3,veraval,20.9,70.3667,26.54,62,45,4.28,IN,1681866593
4,behshahr,36.6923,53.5526,11.33,79,0,1.2,IR,1681866593
5,coquimbo,-29.9533,-71.3436,14.85,77,0,0.0,CL,1681866033
6,christchurch,-43.5333,172.6333,17.73,77,75,5.66,NZ,1681866355
7,suntar,62.1444,117.6319,-3.73,82,90,1.15,RU,1681866594
8,susuman,62.7833,148.1667,-6.19,80,100,2.15,RU,1681866594
9,adamstown,-25.066,-130.1015,24.95,74,46,6.84,PN,1681866594
10,zlynka,52.4267,31.7378,7.57,68,100,3.21,RU,1681866595
11,nelson bay,-32.7167,152.15,23.94,65,64,1.34,AU,1681866595
12,edinburgh of the seven seas,-37.0676,-12.3116,15.5,63,100,7.52,SH,1681866596
13,kingisepp,59.3733,28.6134,0.75,92,36,3.56,RU,1681866596
14,papatowai,-46.5619,169.4708,14.03,72,90,3.47,NZ,1681866596
15,yellowknife,62.456,-114.3525,5.87,45,0,6.71,CA,1681866597
16,khanty-mansiysk,61.0042,69.0019,-9.94,67,0,2.0,RU,1681866490
17,adiyaman,37.75,38.25,13.88,71,100,0.62,TR,1681866597
18,sungailiat,-1.85,106.1333,27.39,83,28,2.71,ID,1681866597
19,bilibino,68.0546,166.4372,-3.12,80,100,1.31,RU,1681866598
20,hawaiian paradise park,19.5933,-154.9731,26.73,84,20,7.2,US,1681866598
21,qaqortoq,60.7167,-46.0333,-0.57,92,28,1.07,GL,1681866598
22,college,64.8569,-147.8028,-0.23,53,75,3.6,US,1681866598
23,umluj,25.0213,37.2685,27.68,32,0,2.16,SA,1681866599
24,talnakh,69.4865,88.3972,-19.33,86,6,2.05,RU,1681866599
25,margaret river,-33.95,115.0667,14.18,62,0,3.52,AU,1681866599
26,hadibu,12.65,54.0333,26.91,75,2,3.27,YE,1681866599
27,honefoss,60.168,10.2565,2.84,87,33,1.74,NO,1681866599
28,chonchi,-42.6128,-73.8092,12.29,99,100,0.87,CL,1681866600
